MAL_id,Type,Episodes,Producers,Licensors,Studios,Source,Duration,Rating,Score,Ranked,Popularity,Members,Favorites,Scorers,Synopsis,Related_Entries,Title,Genres,Themes,Demographics,Year,Season,Is_Finished
8769,TV,12.0,"['Aniplex', 'AIC', 'Movic', 'ASCII Media Works', 'Jumondo', 'Bandai Namco Games']",['Aniplex of America'],['AIC Build'],Light novel,24,PG-13 - Teens 13 or older,6.93,4685.0,313,702442,4515,394820,"Kirino Kousaka embodies the ideal student with equally entrancing looks. Her grades are near perfect, and to cover her personal expenses, she works as a professional model alongside her best friend Ayase Aragaki, who abhors liars and all things otaku. But what Ayase doesn't know is that Kirino harbors a deep, entrenched secret that will soon be brought to light. At home one day, Kyousuke, Kirino's perfectly average brother, stumbles upon an erotic game that belongs to none other than his seemingly flawless little sister. With her reputation at stake, Kirino places a gag order on her sibling while simultaneously introducing him to the world of eroge and anime. Through Kirino, Kyousuke encounters the gothic lolita Ruri Gokou and the bespectacled otaku Saori Makishima, thus jump-starting an entirely new lifestyle. But as he becomes more and more involved in his little sister's secret life, it becomes that much harder to keep under wraps. ",4,Ore no Imouto ga Konnani Kawaii Wake ga Nai,['Comedy'],['Otaku Culture'],,2010,fall,True
8525,TV,12.0,"['TV Tokyo', 'Geneon Universal Entertainment']",['Sentai Filmworks'],['Manglobe'],Manga,23,PG-13 - Teens 13 or older,7.64,1455.0,354,646117,5817,340995,"Keima Katsuragi, known online as the legendary ""God of Conquest,"" can conquer any girl's heart—in dating sim games, at least. In reality, he opts for the two-dimensional world of gaming over real life because he is an unhealthily obsessed otaku of galge games (a type of Japanese video game centered on interactions with attractive girls). When he arrogantly accepts an anonymous offer to prove his supremacy at dating sim games, Keima is misled into aiding a naive and impish demon from hell named Elucia ""Elsie"" de Lute Ima with her mission: retrieving runaway evil spirits who have escaped from hell and scattered themselves throughout the human world. Keima discovers that the only way to capture these spirits is to conquer what he hates the most: the unpredictable hearts of three-dimensional girls! Shackled to Elsie via a deadly collar, Keima now has his title of ""God of Conquest"" put to the ultimate test as he is forced to navigate through the hearts of a multitude of real-life girls. ",4,Kami nomi zo Shiru Sekai,"['Comedy', 'Romance', 'Supernatural']","['Harem', 'Otaku Culture']",['Shounen'],2010,fall,True
7674,TV,25.0,"['NHK', 'Shueisha']",['Media Blasters'],['J.C.Staff'],Manga,24,PG-13 - Teens 13 or older,8.17,439.0,359,638094,9531,303820,"As a child, Moritaka Mashiro dreamt of becoming a mangaka, just like his childhood hero and uncle, Tarou Kawaguchi, creator of a popular gag manga. But when tragedy strikes, he gives up on his dream and spends his middle school days studying, aiming to become a salaryman instead. One day, his classmate Akito Takagi, the school's top student and aspiring writer, notices the detailed drawings in Moritaka's notebook. Seeing the vast potential of his artistic talent, Akito approaches Moritaka, proposing that they become mangaka together. After much convincing, Moritaka realizes that if he is able to create a popular manga series, he may be able to get the girl he has a crush on, Miho Azuki, to take part in the anime adaptation as a voice actor. Thus the pair begins creating manga under the pen name Muto Ashirogi, hoping to become the greatest mangaka in Japan, the likes of which no one has ever seen. ",2,Bakuman.,"['Comedy', 'Drama', 'Romance']",['Otaku Culture'],['Shounen'],2010,fall,True
8861,TV,12.0,"['Starchild Records', 'Studio Mausu', 'GANSIS']",['Media Blasters'],['feel.'],,25,R+ - Mild Nudity,6.02,9809.0,454,523533,2627,275417,"Due to a sudden accident, twins Haruka and Sora Kasugano have lost both of their parents. Starting their lives anew, they return to their childhood home—living once again in the rural, quaint town like they did four years ago. However, revisiting such a nostalgic place also means recalling all the memories the two of them made together, be it those that gave them blissful joy or those that made them suffer painful sorrow. Meeting both old acquaintances and new companions alike, the story of Haruka and Sora only gets more convoluted as their lives are slowly influenced by different acts of love, friendship, envy—and perhaps even lust. ",2,Yosuga no Sora,"['Drama', 'Romance', 'Ecchi']",['Harem'],,2010,fall,True
8937,TV,24.0,"['Geneon Universal Entertainment', 'Square Enix', 'AT-X', 'ASCII Media Works', 'Delfi Sound']",['Funimation'],['J.C.Staff'],Light novel,23,R - 17+ (violence & profanity),7.51,1924.0,505,473461,1731,256294,"As tensions between the world of magic and Academy City continues to rise, Touma Kamijou and his hand of negation must face off against both esper and magician in order to protect the lives of those around him. Of course, he is not alone in his fight; whether by his side or out of sight, allies and enemies both old and new will enter the fray to help him. Toaru Majutsu no Index II continues the story of action and comedy, as the scale of Touma and his allies' battle grows ever larger. A conflict is slowly brewing on the horizon, and magic and science will cross paths once again in the war to come. ",4,Toaru Majutsu no Index II,"['Action', 'Fantasy', 'Sci-Fi']","['Super Power', 'Urban Fantasy']",,2010,fall,True
8795,TV,13.0,"['Kadokawa Shoten', 'Half H.P Studio', 'AT-X', 'Kadokawa Pictures Japan', 'KlockWorx', 'flying DOG', 'Kadokawa Contents Gate']",['Funimation'],['Gainax'],,23,R - 17+ (violence & profanity),7.73,1224.0,601,412667,6243,204897,"The ""Anarchy Sisters,"" Panty and Stocking, have been kicked out of Heaven for, to put it mildly, misbehaving. Led by a priest named Garterbelt, these angels must buy their way back by exterminating ghosts in Daten City. But this task requires unconventional weapons for these unorthodox angels—they transform their lingerie into weapons to dispatch the spirits. Unfortunately, neither of them take their duties seriously, as they rather spend their time in pursuit of other ""hobbies"": Panty prefers to sleep with anything that walks, and Stocking favors stuffing her face with sweets than hunting ghosts. Follow these two unruly angels as they battle ghosts, an overflow of bodily fluids, and their own tendency to get side-tracked in Panty & Stocking with Garterbelt. ",2,Panty & Stocking with Garterbelt,"['Action', 'Comedy', 'Fantasy', 'Ecchi']","['Gag Humor', 'Parody']",,2010,fall,True
9181,TV,12.0,"['Geneon Universal Entertainment', 'TBS', 'Magic Capsule']",['Sentai Filmworks'],['Xebec'],Manga,24,R+ - Mild Nudity,7.26,3049.0,739,344186,991,196107,"Rito Yuuki never gets a break—he's always finding himself in lewd accidents with girls around him. Although his heart still yearns for Haruna, his childhood love, Rito can't help but question his feelings for Lala, the alien princess who appeared in front of him and declared she would marry him. But now, it's not just Lala he has to deal with: her younger twin sisters, Momo and Nana, have also traveled to Earth, wanting to meet their older sister's fiancé, and just as luck would have it, they end up staying at Rito's home. Meanwhile, amidst the bustle of his new family members, Yami, the human weapon girl, begins her pursuit for Rito. It's not an easy life for Rito as he deals with uncertain love, punishment for being a pervert, and a girl dead set on murdering him. ",4,Motto To LOVE-Ru,"['Comedy', 'Romance', 'Sci-Fi', 'Ecchi']","['Harem', 'School']",['Shounen'],2010,fall,True
8407,TV,12.0,"['Kadokawa Shoten', 'Kadokawa Pictures Japan', 'KlockWorx', 'NTT Docomo']",['Funimation'],['AIC ASTA'],Manga,23,PG-13 - Teens 13 or older,7.42,2272.0,880,298336,890,171281,"Sakurai Tomoki has settled into his life with the two angeloids, Ikaros and Nymph, and is enjoying himself immensely. However, he keeps having weird dreams and asks all of his friends to help him investigate the cause. Nymph conjures up a device that enables people, but not angeloids, to enter other people's dreams. The device malfunctions at first but eventually they get to what was supposed to be Tomoki's dream but discover that something is very wrong with it. Later, a meteor comes crashing down from the skies at the site of the large cherry blossom tree where Tomoki first discovered Ikaros. An extremely well endowed blonde angeloid with a huge sword emerges from the meteor and sets off in search of Tomoki!",4,Sora no Otoshimono Forte,"['Comedy', 'Romance', 'Sci-Fi', 'Supernatural', 'Ecchi']",['Harem'],['Shounen'],2010,fall,True
8129,TV,11.0,"['Dentsu', 'Genco', 'Kodansha', 'Fuji TV', 'TOHO', 'Asmik Ace', 'Sony Music Entertainment', 'Sakura Create', 'Fujipacific Music']",['Funimation'],[],Manga,22,PG-13 - Teens 13 or older,8.11,504.0,1032,250413,4997,115156,"Ever since her late mother took her to an aquarium when she was young, Tsukimi Kurashita has been obsessed with jellyfish, comparing their flowing tentacles to a princess's white dress. Now living with five other unemployed otaku women, 19-year-old Tsukimi spends her days as a social outcast dreaming of becoming an illustrator. However, her life changes forever when one day, a beautiful woman unexpectedly helps her save a jellyfish in a local pet store. From then on, the stranger—confident, fashionable, and the complete opposite of Tsukimi and her roommates—begins to regularly visit the girls' building. This trendy hipster, though appearing shallow at first, harbors some secrets of her own, starting with the fact that ""she"" isn't really a girl at all, but a wealthy male college student named Kuranosuke Koibuchi! ",2,Kuragehime,['Comedy'],"['Adult Cast', 'Crossdressing', 'Visual Arts']",['Josei'],2010,fall,True
8424,TV,12.0,"['Lantis', 'Media Factory', 'AT-X']",['Sentai Filmworks'],['Xebec'],Light novel,23,PG-13 - Teens 13 or older,7.01,4369.0,1078,241286,660,126560,"Taro Sado is a high school student who lives his day to day life with a big secret—he's a masochist! Encouraged by his cross-dressing best friend Tatsukichi Hayama, Taro asks the Second Voluntary Club for help with his problem and ends up joining the club after they vow to ""fix"" him. However, it turns out that all of the members of the club have some serious issues. The club leader Mio Isurugi is a self-designated god who is afraid of cats, Arashiko Yuuno has a severe fear of men, and the club advisor Michiru Onigawara is a sadist who enjoys making people cosplay. Together with other wacky characters such as Yumi Mamiya, a talented masseuse and Yuuno's best friend, and Noa Hiiragi, the president of the invention club, they all learn about the importance of acceptance and kindness. ",2,MM!,"['Comedy', 'Ecchi']","['Harem', 'School']",,2010,fall,True
